Time;Tensao
0.1343333;21.7371145
0.1345000;21.47628706
0.1346667;21.1415664
0.1348333;20.6524406
0.1350000;20.08765592
0.1351667;19.46876906
0.1353333;18.80164363
0.1355000;18.08435536
0.1356667;17.31688702
0.1358333;16.49866501
0.1360000;15.63073109
0.1361667;14.71482042
0.1363333;13.75368444
0.1365000;12.74899516
0.1366667;11.70400179
0.1368333;10.62253586
0.1370000;9.507541956
0.1371667;8.362569587
0.1373333;7.190536316
0.1375000;5.99520762
0.1376667;4.780114446
0.1378333;3.549002407
0.1380000;2.305626687
0.1381667;1.053651439
0.1383333;-0.203068977
0.1385000;-1.460694623
0.1386667;-2.715388997
0.1388333;-3.962874347
0.1390000;-5.1998052
0.1391667;-6.422401017
0.1393333;-7.6270417
0.1395000;-8.809711084
0.1396667;-9.965839734
0.1398333;-11.09217789
0.1400000;-12.18531747
0.1401667;-13.2410582
0.1403333;-14.25652083
0.1405000;-15.22748257
0.1406667;-16.15034013
0.1408333;-17.02247814
0.1410000;-17.83854741
0.1411667;-18.59731545
0.1413333;-19.29466689
0.1415000;-19.92786535
0.1416667;-20.4932135
0.1418333;-20.98884788
0.1420000;-21.41105128
0.1421667;-21.75784462
0.1423333;-22.02649935
0.1425000;-22.21430111
0.1426667;-22.31999259
0.1428333;-22.34123266
0.1430000;-22.27690748
0.1431667;-22.12558685
0.1433333;-21.88621764
0.1435000;-21.55874607
0.1436667;-21.14297416
0.1438333;-20.64140046
0.1440000;-20.05672163
0.1441667;-19.4019321
0.1443333;-18.70764889
0.1445000;-17.85980283
0.1446667;-16.87182547
0.1448333;-15.76644872
0.1450000;-14.56246085
0.1451667;-13.27302022
0.1453333;-11.91031408
0.1455000;-10.48391236
0.1456667;-9.002910553
0.1458333;-7.475036162
0.1460000;-5.908481225
0.1461667;-4.311666147
0.1463333;-2.692948611
0.1465000;-1.060593616
0.1466667;-0.191848196
0.1468333;1.43996042
0.1470000;3.063010623
0.1471667;4.670733745
0.1473333;6.254936219
0.1475000;7.807982179
0.1476667;9.322264147
0.1478333;10.78928044
0.1480000;12.20367447
0.1481667;13.56070966
0.1483333;14.77152626
0.1485000;15.84796204
0.1486667;16.83020938
